"species_id","group_id","behavior","domains","behavior_id","Ordr","Class"
"Fringilla_coelebs",700007,"Chatham Island population songs","mating",11,"Passeriformes","Aves"
"Fringilla_coelebs",700007,"Chatham Island population songs","vocal communication",11,"Passeriformes","Aves"
"Gerygone_fusca",700080,"Rottnest Island Gerygones song type","mating",86,"Passeriformes","Aves"
"Gerygone_fusca",700080,"Rottnest Island Gerygones song type","vocal communication",86,"Passeriformes","Aves"
"Gorilla_beringei_beringei",700040,"Karisoke gorilla groups adult female grooming","social",46,"Primates","Mammalia"
"Gorilla_beringei_beringei",700005,"Bwindi Kyagurilo gorilla group teeth tree climbing","other",9,"Primates","Mammalia"
"Gorilla_gorilla_gorilla",700054,"Moukalaba Gentil gorilla group hand clapping","social",60,"Primates","Mammalia"
"Gyps_fulvus",700062,"Northern vulture population anthropic resource foraging","foraging",69,"Accipitriformes","Aves"
"Gyps_fulvus",700090,"Southern vulture population wild ungulate foraging","foraging",99,"Accipitriformes","Aves"
"Hipposideros_larvatus",700029,"Hainan caves leafnosed bats echolocation call frequency","social",35,"Chiroptera","Mammalia"
"Hipposideros_larvatus",700029,"Hainan caves leafnosed bats echolocation call frequency","vocal communication",35,"Chiroptera","Mammalia"
"Junco_hyemalis",700098,"UCSD dark-eyed juncos long-range song","mating",110,"Passeriformes","Aves"
"Junco_hyemalis",700098,"UCSD dark-eyed juncos long-range song","vocal communication",110,"Passeriformes","Aves"
"Larus_occidentalis",700000,"Alcatraz Western gulls foraging preference","foraging",2,"Charadriiformes","Aves"
"Larus_occidentalis",700000,"Alcatraz Western gulls foraging preference","mating",2,"Charadriiformes","Aves"
"Loxigilla_noctis",700008,"Colony Club site finches sugar packet opening","foraging",12,"Passeriformes","Aves"
"Loxodonta_africana",700001,"Amboseli elephant population elephant rumbles","vocal communication",3,"Proboscidea","Mammalia"
"Loxodonta_africana",700001,"Amboseli elephant population elephant rumbles","social",3,"Proboscidea","Mammalia"
"Loxodonta_africana",700081,"Samburu elephant population elephant rumbles","social",87,"Proboscidea","Mammalia"
"Loxodonta_africana",700081,"Samburu elephant population elephant rumbles","vocal communication",87,"Proboscidea","Mammalia"
"Macaca_fuscata",700106,"Koshima macaque troop sweet-potato washing","foraging",121,"Primates","Mammalia"
"Megaptera_novaeangliae",700087,"Southern Hemisphere Group V humpback whale song variants","mating",94,"Cetacea","Mammalia"
