species_id,group_id,group_name,group_level,group_above,size,size_evidence,size_date,size_source,location_evidence,location_source,lat,long,points,labels
Parus_major,700036,Istállós-kői-cave foraging tits,NA,,NA,,NA,,"Istállós-kői-cave, Bükk Mountains, Hungary",estok2010,48.072,20.417,,
Passerculus_sandwichensis,700089,Southern theme Savannah sparrows,NA,,NA,,NA,,"London, western Ontario",sunghandford2006,43.01,-81.274,,
Passerculus_sandwichensis,700061,Northern theme Savannah sparrows,NA,,NA,,NA,,"Belgrave, western Ontario",sunghandford2006,43.815,-81.369,,
Passerina_cyanea,700025,George Reserve Indigo buntings,NA,,130,authors recorded 80-180 males in each area (Payne 1996),NA,,"E.S. George Reserve, southern Michigan",payne1996,42.458,-84.011,,
Philesturnus_rufusater,700012,Cuvier saddlebacks,NA,,56,"""There were 28 pairs living in the study area when the study began. Of these, 12 individuals were survivors from the original liberation while the other 16 were Cuvier-bred birds . The population increased to 50 pairs in 1971 to 72, dropped to 45 pairs in 1972 to 73 and rose again to 48 pairs in 1973 to 74. The two original colonizers which were still living at that time were at least 7 years old"" (Jenkins 1978)",1974,jenkins1978,Cuvier Island,jenkins1978,-36.435,175.769,Philesturnus carunculatus,Cuvier saddlebacks
Physeter_macrocephalus,700077,Regular clan,1,,NA,,NA,,off Galápagos Islands,whitehead2024,-0.793,-88.68,Physeter macrocephalus,Regular clan
Physeter_macrocephalus,700027,Gulf of Alaska sperm whales,NA,,NA,,NA,,Gulf of Alaska,schakner2014,0,-144,Physeter macrocephalus,Gulf of Alaska sperm whales
Physeter_macrocephalus,700072,Plus-One clan,1,,NA,"""Presumably the numerical sizes of the clans vary accordingly, with the Plus-one clan containing considerably fewer than my rough average of 20000 animals"" (Whitehead 2024)",NA,whitehead2024,off Galápagos Islands and Ecuador,whitehead2024,-0.902,-85.254,,
Pipistrellus_pipistrellus,700091,Stolec (STO) pipistrelle colony,NA,,24,,2007,sztencelbogdanowicz2012,"Stolec, Poland [50°35′22.5″N, 16°53′00.0″E]",sztencelbogdanowicz2012,50.59,16.883,Pipistrellus pipistrellus,Stolec pipistrelle colony
Ploceus_bicolor_stictifrons,700021,False Bay dialect forest weavers,NA,,NA,,NA,,False Bay Park (S 27±580; E 32±210,seibt2002,-27.967,32.35,Ploceidae,False Bay dialect forest weavers
Ploceus_bicolor_stictifrons,700032,Hluhluwe River dialect forest weavers,NA,,NA,,NA,,"""We recorded this song type at Maphumulo (S 28±070; E 32±060) as well as at Siwasamakhosikazi (S 28±080; E 31±590).""",seibt2002,-28.117,32.1,,
Ploceus_bicolor_stictifrons,700031,Hluhluwe Park dialect forest weavers,NA,,NA,,NA,,Hluhluwe Imfolozi Game Reserve,seibt2002,-28.062,32.141,,
Poecile_atricapillus,700043,Lee Martinez Park (LMP) black-capped chickadees,NA,,NA,,NA,,"Lee Martinez Park (LMP) Fort Collins, Colorado",baker2000,40.596,-105.082,,
Poecile_atricapillus,700055,Mulberry/Lemay (ML) black-capped chickadees,NA,,NA,,NA,,"Mulberry and Lemay Crossing, Fort Collins, Colorado",baker2000,40.581,-105.057,,
Poecile_atricapillus,700020,Environmental Learning Center (ELC) black-capped chickadees,NA,,NA,,NA,,"Environmental Learning Center along Cache La Poudre River in Fort Collins, Colorado",baker2000,40.556,-105.02,,
Poecile_atricapillus,700024,Fort Collins chickadees,NA,,NA,,NA,,"Fort Collins, CO, US",gammonbaker2004,40.585,-105.084,,
Pongo_abelii,700092,Suaq Balimbing orangutans,NA,,200,"""In the last 20 years we have identified more than 200 orangutans at Suaq""",NA,suaq.org/research,"Suaq Balimbing monitoring station, Sumatra, Indonesia",schupplivanschaik2019,3.542,97.464,Pongo,Suaq Balimbing orangutans
Pongo_pygmaeus_wurmbi,700097,Tuanan orangutans,NA,,NA,,NA,,"Stasiun Penelitian Orangutan Tuanan, Central Kalimantan, Indonesia",,-2.051,114.436,Pongo pygmaeus,Tuanan orangutans
Rattus_rattus,700035,Israeli pine cone population,NA,,NA,unclear,NA,,"Kibbutz Ramot Menashe, Israel",terkel1995,32.598,35.059,Rattus rattus,Israeli pine cone rats
Rattus_rattus,700034,Israeli cypress population,NA,,NA,unclear,NA,,"Kibbutz Ramot Menashe, Israel",terkel1995,32.598,35.059,,
Rhinolophus_monoceros,700023,Formosan lesser horseshoe bats populations 1-20,NA,,NA,,NA,,Taiwan,chen2009,23.698,120.961,Rhinolophus,Formosan horseshoe bats populations 1-20
Rhinolophus_pumilus,700066,Okinawa horseshoe bats South colonies,NA,,NA,,NA,,"Motobu peninsula, Okinawa, Japan",yoshino2008,26.658,127.898,Rhinolophus,Okinawa horseshoe bats South colonies
Rhinolophus_pumilus,700065,Okinawa horseshoe bats North colonies,NA,,NA,,NA,,Okinawa Island,yoshino2008,26.745,128.237,Rhinolophus,Okinawa horseshoe bats North colonies
Sapajus_libidinosus,700064,Oitenta group,NA,,12,,2005,mannu2009,Serra da Capivara National Park,mannu2009,-8.717,-42.602,Sapajus,Oitenta capuchin group
Sapajus_libidinosus,700037,Jurubeba group,NA,,52,,2005,mannu2009,Serra da Capivara National Park,mannu2009,-8.717,-42.602,,
Sotalia_guianensis,700006,Cananéia Estuary Guiana dolphins,NA,,NA,,NA,,"Cananéia Estuary, Brazil",santos2010,-25.011,-47.93,Sotalia guianensis,Cananéia Estuary Guiana dolphins
Tursiops_aduncus,700052,Moreton Bay non-trawler dolphins,NA,,NA,trawler dolphin community had larger schools than non-trawlers,NA,,"eastern Moreton Bay, Queensland, Australia",chilverscorkeron2001,-27.095,152.921,,
Tursiops_aduncus,700085,Shark Bay dolphins,NA,,NA,,NA,,"Eastern Gulf of Shark Bay, Western Australia 113°45′E, 25°48′S",krutzen2005,-25.783,113.299,Tursiops aduncus,Shark Bay dolphins
Tursiops_aduncus,700053,Moreton Bay trawler dolphins,NA,,NA,trawler dolphin community had larger schools than non-trawlers,NA,,"eastern Moreton Bay, Queensland, Australia",chilverscorkeron2001,-27.095,152.921,Tursiops aduncus,Moreton Bay trawler dolphins
Zonotrichia_capensis,700070,Papallacta sparrows,NA,,NA,,NA,,"Papallacta, Ecuador",moore2005,-0.377,-78.141,Zonotrichia capensis,Papallacta sparrows
Zonotrichia_leucophrys_nuttalli,700082,San Francisco dialect white-crowned sparrows,NA,,NA,,NA,,"Golden Gate Park, San Francisco",luther2010,37.768,-122.467,,
Zonotrichia_leucophrys_nuttalli,700073,Presidio dialect white-crowned sparrows,NA,,NA,,NA,,"Presidio, San Francisco",luther2010,37.792,-122.481,,
Zonotrichia_leucophrys_nuttalli,700042,Lake Merced dialect white-crowned sparrows,NA,,NA,,NA,,"Lake Merced, San Francisco",luther2010,37.721,-122.496,,
